# region_id,E1,E2,E3,nu12,nu13,nu23,G12,G13,G23,p10,p11,p12,density,conductivity,expansion,specificHeat,depvar
001,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
002,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
003,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
004,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
005,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
006,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
007,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
008,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
009,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
010,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
011,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
012,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
013,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
014,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
015,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
016,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
017,2244.25,2244.25,2244.25,0.298,0.298,0.298,863.63,863.63,863.63,40.96,64.0,0.33,1050.0,0.15,0.00012,2000.0,25
